date,stamp,news,
01/01/2007,Jan-7,Sean Quinn is reported to have secretly built up a 5% stake in Anglo Irish Bank using CFDs.,
02/01/2007,Feb-07,"Banking shares hit record highs, trebling in value since 2000. March 2007: Residential property prices fall for the first time.",
01/01/2008,Jan-08,Legal advice taken on Sean FitzPatrick's hidden loans. He is given the all clear.,
07/05/2008,07-May-08,Anglo Irish Bank chief executive David Drumm states that Anglo Irish bank is in a “robust funding position”.,
01/07/2008,01-Jul-08,10% of Anglo Irish Bank is placed with 10 of its clients in a move not disclosed to the Irish Stock Exchange.,
15/07/2008,15-Jul-08,Sean Quinn states his family controls 15% of Anglo Irish Bank.,
05/09/2008,05-Sep-08,Anglo Irish sells its Austrian Division to Valartis.,
09/09/2008,09-Sep-08,Alan Gray met Lenihan at 11.30 in the Department.,
11/09/2008,11-Sep-08,The Anglo Board “first” realised that the bank was massively threatened by Quinn’s “gambling on its share price”.,
15/09/2008,15-Sep-08,"Anglo begins to haemorrhage deposits. FitzPatrick and Drumm meet to discuss a possible merger with IL&P with directors, Gillian Bowler and Denis Casey. When this falls through, Anglo approach EBS. Haemorrhaging of deposits means Anglo has breached its regulatory liquidity ratios. Turns to Central Bank.",
18/09/2008,18-Sep-08,That leaked phone conversation between Bowe & Fitzgerald on how Anglo Irish was trying to get the Government on the hook for €7billion.,
19/09/2008,19-Sep-08,"Anglo makes a presentation to the Dept of Finance, saying it will be “highly profitable” in 2009, with bad debts of just €300million.Later, Government and regulatory officials meet Brian Lenihan to discuss the “great strain” on the liquidity of the Irish banks.They decide to increase the State deposit guarantee scheme from €20,000 to €100,000.Central Bank governor John Hurley suggests a €10 billion emergency fund and the possibility of nationalising or supporting Anglo.",
20/09/2008,20-Sep-08,"They are told the Government will announce the increase on the deposit guarantee that day and that the announcement will contain “generous wording” signalling that the Government stands behind the banking system. The Government says publicly that it wants to “protect the whole financial system, secure its stability”. The statement contained what officials called Ôconstructive ambiguity'.It was never quite clear what the Government was saying, but it was so ambiguous it could be seen constructively by the market.",
21/09/2008,21-Sep-08,Goldman Sachs advisers to Irish Nationwide tell Government the building society is in danger of running out of funds in 11 days.,
22/09/2008,22-Sep-08,Mergers and liquidity borrowing from the Central Bank discussed.,
25/09/2008,25-Sep-08,"With impeccable timing Ireland becomes the first country in the eurozone to declare it is in recession. Merrill Lynch brought into advice Department of Finance. Range of options presented. “At this stage, things were getting worse and worse Ð it was dire,” says one insider. (Simon Carswell reports)",
